PC,Inst Name,Jump?,Jump Addr
0x15EF5,"JP NZ,$5F4A",1,0x5F4A
0x15EFA,"JP Z,$5F4A",1,0x5F4A
0x15F0C,RET NZ,0,0x0
0x46A8,"JP Z,$4776",1,0x4776
0x46DF,"JP Z,$4770",1,0x4770
0x46E6,"JR NZ,$46F8  [+16]",1,0x46F8
0x46F5,"JP Z,$4770",1,0x4770
0x4703,"JR Z,$46D0  [-53]",1,0x46D0
0x4707,"JR Z,$46D4  [-53]",1,0x46D4
0x470B,"JR Z,$46D8  [-53]",1,0x46D8
0x471D,"JR Z,$46EA  [-53]",1,0x46EA
0x4721,"JR Z,$46EE  [-53]",1,0x46EE
0x4725,"JR Z,$46F2  [-53]",1,0x46F2
0x472C,"JP NZ,$4770",1,0x4770
0x15F27,"JR Z,$5F43  [+26]",1,0x5F43
0x15F38,"JR NZ,$5F43  [+9]",1,0x5F43
0x15F3C,"JR NZ,$5F43  [+5]",1,0x5F43
0x2B40,"JR NZ,$2B45  [+3]",1,0x2B45
0x652B,"JR NZ,$6540  [+19]",1,0x6540
0x653A,"JR Z,$6560  [+36]",1,0x6560
0x242F,"JR Z,$2436  [+5]",1,0x2436
0x244E,"CALL NZ,$4EC6",1,0x4EC6
0x248F,"JP Z,$2515",1,0x2515
0x24B9,"JR Z,$2486  [-53]",1,0x2486
0x24BD,"JR Z,$248A  [-53]",1,0x248A
0x24C1,"JR Z,$248E  [-53]",1,0x248E
0x24C8,"JP NZ,$250F",1,0x250F
0x2516,"CALL NZ,$4EC6",1,0x4EC6
0x252B,RET NZ,0,0x0
0x233C,"JP NZ,$7ECE",1,0x7ECE
0x2341,"JP NZ,$23CB",1,0x23CB
0x234D,"JP Z,$2422",1,0x2422
0x2355,"JP Z,$2422",1,0x2422
0x2361,"JR NZ,$2365  [+2]",1,0x2365
0x23B5,"JR NZ,$23B9  [+2]",1,0x23B9
0x23BD,"JR NZ,$23C1  [+2]",1,0x23C1
0x4735,"JP Z,$476B",1,0x476B
0x4755,"JR NZ,$475E  [+7]",1,0x475E
0x4764,"JR NZ,$4770  [+10]",1,0x4770
0x15FF7,"JP Z,$6027",1,0x6027
0x16019,"JR Z,$6027  [+12]",1,0x6027
0x15E81,RET NZ,0,0x0
0x15E94,RET Z,0,0x0
0x15E9C,"CALL NZ,$4EC6",1,0x4EC6
0x15EAA,"JR NZ,$5EB0  [+4]",1,0x5EB0
0x15EC0,"JR NZ,$5ECD  [+11]",1,0x5ECD
0x15EC6,"JR NZ,$5ECD  [+5]",1,0x5ECD
0x49B7,"JP Z,$4A59",1,0x4A59
0x16045,"JP NZ,$60D5",1,0x60D5
0x41BA,"JR Z,$4187  [-53]",1,0x4187
0x41BE,"JR Z,$418B  [-53]",1,0x418B
0x41C2,"JR Z,$418F  [-53]",1,0x418F
0x41D4,"JR Z,$41A1  [-53]",1,0x41A1
0x41D8,"JR Z,$41A5  [-53]",1,0x41A5
0x41DC,"JR Z,$41A9  [-53]",1,0x41A9
0x4211,"JR NZ,$422D  [+26]",1,0x422D
0x4231,"JR NZ,$424E  [+27]",1,0x424E
0x4258,"JR NZ,$427A  [+32]",1,0x427A
0x4259,"JR NZ,$4253  [-8]",1,0x4253
0x427E,"JR NZ,$429E  [+30]",1,0x429E
0x4291,RET Z,0,0x0
0x42A4,"JR NZ,$42AA  [+4]",1,0x42AA
0x16052,"JP Z,$60D5",1,0x60D5
0x16082,"JP NZ,$60D5",1,0x60D5
0x130D7,"JR NZ,$70E9  [+16]",1,0x70E9
0x332D,"JR NZ,$3329  [-6]",1,0x3329
0x32B4,"JR NZ,$32B1  [-5]",1,0x32B1
0x32DC,"JR NZ,$32E0  [+2]",1,0x32E0
0x32E1,"JR NZ,$32CF  [-20]",1,0x32CF
0x6FAA,"JP Z,$7293",1,0x7293
0x6FD3,"JR Z,$6FD6  [+1]",1,0x6FD6
0x701A,"JR Z,$7023  [+7]",1,0x7023
0x7020,"JP Z,$722B",1,0x722B
0x7230,"JP NZ,$727B",1,0x727B
0x729C,"JP Z,$72E4",1,0x72E4
0x72E7,"JR NC,$72ED  [+4]",1,0x72ED
0x72F8,"CALL Z,$332B",1,0x332B
0x6D25,"CALL Z,$F567",1,0xF567
0x6DD6,"JR NZ,$6DE1  [+9]",1,0x6DE1
0x6DE2,"JP NC,$7E67",1,0x7E67
0x6E46,"JR Z,$6E6C  [+36]",1,0x6E6C
0x6E49,"CALL NC,$7E67",1,0x7E67
0x6E6B,"CALL NC,$0DF8",1,0xDF8
0x6E70,RET Z,0,0x0
0x6DDE,"JP Z,$6E72",1,0x6E72
0x6E7C,"JP Z,$6ECE",1,0x6ECE
0x6E80,RET NC,0,0x0
0x7321,"CALL Z,$E82D",1,0xE82D
0x2DDE,"JR NZ,$2DE9  [+9]",1,0x2DE9
0x7343,"JR NZ,$7348  [+3]",1,0x7348
0x6CA8,"JR NC,$6CB2  [+8]",1,0x6CB2
0x2DF9,"JR NZ,$2E03  [+8]",1,0x2E03
0xAFA,RET NZ,0,0x0
0x1B93,JP (HL),0,0x0
0x1BA7,"JR NZ,$1BBE  [+21]",1,0x1BBE
0x1BAD,"JR Z,$1BB9  [+10]",1,0x1BB9
0x6CD9,"JR Z,$6CDE  [+3]",1,0x6CDE
