PC,"Inst Name",Jump?,Jump Addr
0x2328,"SLA C",0,0x0
0x2329,"LD HL,$10CB",1,0x10CB
0x232A,"RL B",0,0x0
0x232B,"STOP",0,0x0
0x232C,"SLA C",0,0x0
0x232D,"LD HL,$10CB",1,0x10CB
0x232E,"RL B",0,0x0
0x232F,"STOP",0,0x0
0x2330,"SLA C",0,0x0
0x2331,"LD HL,$10CB",1,0x10CB
0x2332,"RL B",0,0x0
0x2333,"STOP",0,0x0
0x2334,"SLA C",0,0x0
0x2335,"LD HL,$10CB",1,0x10CB
0x2336,"RL B",0,0x0
0x2337,"STOP",0,0x0
0x2338,"INC SP",0,0x0
0x2339,"INC SP",0,0x0
0x233A,"PUSH BC",0,0x0
0x233B,"LD HL,$CEC2",1,0xCEC2
0x233C,"JP NZ,$7ECE",1,0x7ECE
0x233E,"LD A,(HL)",0,0x0
0x233F,"SUB $11",0,0x0
0x2340,"LD DE,$CBC2",1,0xCBC2
0x2341,"JP NZ,$23CB",1,0x23CB
0x2342,"SLA E",0,0x0
0x2344,"XOR A",0,0x0
0x2345,"LD HL,(SP+2)",0,0x0
0x2346,"LD (BC),A",0,0x0
0x2347,"LD (HL),A",0,0x0
0x2348,"LD HL,(SP+2)",0,0x0
0x2349,"LD (BC),A",0,0x0
0x234A,"LD A,(HL)",0,0x0
0x234B,"SUB $05",0,0x0
0x234C,"DEC B",0,0x0
0x234D,"JP Z,$2422",1,0x2422
0x234E,"LD (HL+),A",0,0x0
0x2350,"LD HL,$CA95",1,0xCA95
0x2351,"SUB L",0,0x0
0x2353,"LD A,(HL)",0,0x0
0x2354,"OR A",0,0x0
0x2355,"JP Z,$2422",1,0x2422
0x2356,"LD (HL+),A",0,0x0
0x2358,"LD HL,$CA92",1,0xCA92
0x2359,"SUB D",0,0x0
0x235B,"DEC HL",0,0x0
0x235C,"LD C,(HL)",0,0x0
0x235D,"INC HL",0,0x0
0x235E,"LD B,(HL)",0,0x0
0x235F,"DEC HL",0,0x0
0x2360,"INC (HL)",0,0x0
0x2361,"JR NZ,$2365  [+2]",1,0x2365
0x2362,"LD (BC),A",0,0x0
0x2363,"INC HL",0,0x0
0x2364,"INC (HL)",0,0x0
0x2365,"LD A,C",0,0x0
0x2366,"AND $1F",0,0x0
0x2367,"RRA",0,0x0
0x2368,"LD B,$00",0,0x0
0x2369,"NOP",0,0x0
0x236A,"LD C,A",0,0x0
0x236B,"LD HL,$9800",1,0x9800
0x236C,"NOP",0,0x0
0x236E,"ADD HL,BC",0,0x0
0x236F,"LD C,L",0,0x0
0x2370,"LD B,H",0,0x0
0x2371,"POP HL",0,0x0
0x2372,"PUSH HL",0,0x0
0x2373,"ADD HL,BC",0,0x0
0x2374,"LD C,L",0,0x0
0x2375,"LD B,H",0,0x0
0x2376,"PUSH BC",0,0x0
0x2377,"LD HL,$C6BC",1,0xC6BC
0x2378,"CP H",0,0x0
0x237A,"LD A,(HL)",0,0x0
0x237B,"PUSH AF",0,0x0
0x237C,"INC SP",0,0x0
0x237D,"CALL $078D",1,0x78D
0x237E,"ADC A,L",0,0x0
0x2380,"INC SP",0,0x0
0x2381,"POP BC",0,0x0
0x2382,"LD A,$01",0,0x0
0x2383,"LD BC,$4FE0",1,0x4FE0
0x2384,"LD ($FF00+$4F),A  [VBK]",0,0x0
0x2385,"LD C,A",0,0x0
0x2386,"LD HL,$CA90",1,0xCA90
0x2387,"SUB B",0,0x0
0x2389,"DEC HL",0,0x0
0x238A,"LD E,(HL)",0,0x0
0x238B,"INC HL",0,0x0
0x238C,"LD D,(HL)",0,0x0
0x238D,"LD A,(DE)",0,0x0
0x238E,"PUSH BC",0,0x0
0x238F,"PUSH AF",0,0x0
0x2390,"INC SP",0,0x0
0x2391,"PUSH BC",0,0x0
0x2392,"CALL $22ED",1,0x22ED
0x2393,"[UNUSED]",0,0x0
0x2395,"ADD SP,+3",0,0x0
0x2396,"INC BC",0,0x0
0x2397,"POP BC",0,0x0
0x2398,"LD A,$00",0,0x0
0x2399,"NOP",0,0x0
0x239A,"LD ($FF00+$4F),A  [VBK]",0,0x0
0x239B,"LD C,A",0,0x0
0x239C,"PUSH BC",0,0x0
0x239D,"CALL $07AE",1,0x7AE
0x239E,"XOR (HL)",0,0x0
0x23A0,"POP BC",0,0x0
0x23A1,"LD HL,$CA8C",1,0xCA8C
0x23A2,"ADC A,H",0,0x0
0x23A4,"DEC HL",0,0x0
0x23A5,"LD E,(HL)",0,0x0
0x23A6,"INC HL",0,0x0
0x23A7,"LD D,(HL)",0,0x0
0x23A8,"LD A,(DE)",0,0x0
0x23A9,"PUSH AF",0,0x0
0x23AA,"INC SP",0,0x0
0x23AB,"PUSH BC",0,0x0
0x23AC,"CALL $22ED",1,0x22ED
0x23AD,"[UNUSED]",0,0x0
